author,published_at,updated_at,like_count,text
@AcerBoy-li6gx,2023-12-15T03:28:12Z,2023-12-15T03:28:12Z,0,Refuse
@hi_guys404,2023-12-15T01:09:28Z,2023-12-15T01:09:28Z,0,Its better Rohingya peoples back Myanmar or Bangladesh..Rohingya peoples is the Bangladesh community
@zanamos,2023-12-14T20:40:08Z,2023-12-14T20:40:08Z,0,Thank you Al Jazeera...<br>Now I&#39;m happy the world see that Indonesian don&#39;t want Rohingya to come to our country again and again.<br>Take Rohingya out from Indonesia.<br><br>For UNHCR I want to say F**K you
@Marcus_-sy9fi,2023-12-14T19:27:42Z,2023-12-14T19:27:42Z,0,But you still would not want to relate to how people in Western countries feel about massive refugees with so much difference in culture and religion.
@twelvehalo2929,2023-12-14T18:41:44Z,2023-12-14T18:41:44Z,0,FYI..<br>Prov Aceh is the poorest Province in Indonesia..<br>So Don&#39;t give them any cases any more..
@twelvehalo2929,2023-12-14T18:39:17Z,2023-12-14T18:39:17Z,0,SAY NO TO ROHINGYA!!<br>Katakan tidak kepada rohingya!!
@dapuradzuka9040,2023-12-14T18:15:36Z,2023-12-14T18:15:36Z,0,"We reject the Rohingya not because of human rights issues, racial or religious differences but because their behavior is very bad. they threw away aid, damaged camps, polluted fish ponds, dumped samoah carelessly, slandered, harassed volunteers. even though we have prioritized helping them over our relatives, we provide houses, allowances, free electricity, free water, free education, free health care when many of our relatives are still in need. Rohingya are cowards who ran away from the battlefield, they have no patriotism, and they are never grateful. These are the facts the world needs to know.."
@herisusanto4019,2023-12-14T15:42:30Z,2023-12-14T15:42:30Z,0,KAMI BANGSA INDONESIA TIDAK MENERIMA ROHINGYA....ALLAHU AKBAARRRRRR......MERDEKAAAAA ATAU MATIIIII<br><br>MERDEKAAAA INDONESIAAAA
@lambekudw7174,2023-12-14T14:19:00Z,2023-12-14T14:19:00Z,1,"Don&#39;t look at it from the perspective of refugees, look at the Indonesian people, there are still many who are still poor and suffering, the refugees who come are human traffickers by irresponsible individuals. International media is increasingly adding to the problem with its news"
@BIMAMINECRAFTGAMING,2023-12-14T13:36:43Z,2023-12-14T13:37:07Z,0,STOP ROHINGYA PLSS
